Year,Country,Location
1956,Switzerland,Lugano
1957,Netherlands,Frankfurt
1958,France,Hilversum
1959,Netherlands,Cannes
1960,France,London
1961,Luxembourg,Cannes
1962,France,Luxembourg
1963,Denmark,London
1964,Italy,Copenhagen
1965,Luxembourg,Naples
1966,Austria,Luxembourg
1967,United Kingdom,Vienna
1968,Spain,London
1969,Spain,Madrid
1969,United Kingdom,Madrid
1969,Netherlands,Madrid
1969,France,Madrid
1970,Ireland,Amsterdam
1971,Monaco,Dublin
1972,Luxembourg,Edinburgh
1973,Luxembourg,Luxembourg
1974,Sweden,Brighton
1975,Netherlands,Stockholm
1976,United Kingdom,The Hauge
1977,France,London
1978,Israel,Paris
1979,Israel,Jerusalem
1980,Ireland,The Hauge
1981,United Kingdom,Dublin
1982,Germany,Harrogate
1983,Luxembourg,Munich
1984,Sweden,Luxembourg
1985,Norway,Gothenburg
1986,Belgium,Bergen
1987,Ireland,Brussels
1988,Switzerland,Dublin
1989,Yugoslavia,Lausanne
1990,Italy,Zagreb
1991,Sweden,Rome
1992,Ireland,Malmo
1993,Ireland,Millstreet
1994,Ireland,Dublin
1995,Norway,Dublin
1996,Ireland,Oslo
1997,United Kingdom,Dublin
1998,Israel,Birmingham
1999,Sweden,Jerusalem
2000,Denmark,Stockholm
2001,Estonia,Copenhagen
2002,Latvia,Tallinn
2003,Turkey,Riga
2004,Ukraine,Istanbul
2005,Greece,Kyiv
2006,Finland,Athens
2007,Serbia,Helsimki
2008,Russia,Belgrade
2009,Norway,Moscow
2010,Germany,Oslo
2011,Azerbaijan,Dusseldorf
2012,Sweden,Baku
2013,Denmark,Malmo
2014,Austria,Copenhagen
2015,Sweden,Vienna
2016,Ukraine,Stockholm
2017,Portugal,Kyiv
2018,Israel,Lisbon
2019,Netherlands,Tel Aviv
2021,Italy,Rotterdam
2022,Ukraine,Turin
2023,Sweden,Liverpool
2024,Switzerland,Malmo
2025,Austria,Basel
